trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
458,False,"{'a': 0.25, 'e': 0.1012664618538834}",25,9,24.877934922608837,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.25, 'e': 0.10076139326830373}",30,9,24.56905286694652,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
460,False,"{'a': 0.25, 'e': 0.1002588437228037}",20,10,19.806808414413176,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.25, 'e': 0.09975880065361863}",20,0,6.236428061145415,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,12,35.4222194504615,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,2,32.25157851705655,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,21.37936187645432,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,8,20.49341858865074,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,13,25.650507142009356,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,11,15.890598924721756,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,21,12.604764238944735,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,10,19.06052958222188,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,10,19.56246604942568,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,12,35.36659958306383,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,8,20.094989690840016,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",25,19,8.445230689131579,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,16,9.65069084795069,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,11,25.72311403354471,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,10,19.86336982459269,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
